,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
r13_share_w4,232.70274019241333,523.9827600717545,387.09867763519287,208.6826410293579,479.6313819885254,823.3196158409119,442.5696361263593
r14_w13,192.28036069869995,748.3245084285736,394.8845434188843,188.91723918914795,583.0614709854126,532.0635657310486,439.9219480752945
q4_base_4w,209.94633388519287,627.8943822383881,627.2403926849365,499.989070892334,289.31607723236084,378.1322274208069,438.75308072566986
goldstein_wsum_w4,203.1648530960083,608.5240924358368,608.9013857841492,244.32390022277832,314.91442108154297,376.00710248947144,392.63929251829785
r19_w4,292.00938987731934,643.2851393222809,468.60199785232544,316.85174083709717,232.2209997177124,299.92184829711914,375.4818526506424
tone_sum_w4,75.56026887893677,674.5130308866501,408.1822290420532,351.8449993133545,314.23534870147705,426.1393690109253,375.0792076388995
q4_share_w4,218.32543087005615,537.650312423706,253.02957010269165,117.94270038604736,541.4464592933655,509.1359529495239,362.92173767089844
r20_w13,345.67633152008057,371.5527421236038,266.8369221687317,321.7006072998047,272.7298493385315,528.3406920433044,351.1395240823428
q2_w4,284.9635510444641,622.3957720994949,346.58817291259766,160.8704023361206,257.19513034820557,408.8002588748932,346.80221460262936
q4_mention_share_w4,268.72237062454224,554.2975317239761,253.29073858261108,132.53110122680664,294.21248865127563,535.8252100944519,339.8132401506106
q4_m_w4,102.8692684173584,555.5935623645782,302.25318241119385,134.59449195861816,342.38536310195923,549.6388883590698,331.22245943546295
r15_share_w4,62.4441499710083,360.72786045074463,243.50781917572021,224.6014223098755,447.30356884002686,569.1683502197266,317.95886182785034
ev_ratio_1_13,127.97756147384644,584.9429010152817,347.72749280929565,181.8667984008789,273.18093967437744,343.1304497718811,309.80435719092685
goldstein_sum_w4,87.5877194404602,416.5234613418579,345.6767110824585,60.4269905090332,363.84123706817627,390.67054176330566,277.4544435342153
tone_wsum_w4,28.629899501800537,474.80731296539307,308.8410725593567,123.79394149780273,358.83903980255127,345.9888606071472,273.4833544890086
r18_share_w4,155.08604049682617,341.8063999414444,260.0176706314087,92.24710083007812,257.03953218460083,491.6555199623108,266.30871067444485
n_root_w4,50.693169593811035,477.22699189186096,349.8465094566345,121.20919990539551,282.13118076324463,312.6431279182434,265.6250299215317
goldstein_delta_1_13,229.03587865829468,378.4574294090271,373.4997808933258,137.26150131225586,130.55565977096558,307.33083868026733,259.3568481206894
q4_w13,168.17007637023926,312.3904013633728,290.66101121902466,119.56269931793213,264.12090015411377,305.45747232437134,243.39376012484232
