iso3,name,iso_num,region,subregion,lat,lon
BRN,Brunei Darussalam,096,Asia,South-eastern Asia,4.543205889917609,114.6430958360464
BGR,Bulgaria,100,Europe,Eastern Europe,42.82043677302438,25.251739122561908
BFA,Burkina Faso,854,Africa,Sub-Saharan Africa,12.108709036312735,-1.6932816211842323
BDI,Burundi,108,Africa,Sub-Saharan Africa,-3.261251993278643,29.88518227845293
CPV,Cabo Verde,132,Africa,Sub-Saharan Africa,15.076411518651645,-23.63401005900474
KHM,Cambodia,116,Asia,South-eastern Asia,12.699186865507777,105.039730786807
CMR,Cameroon,120,Africa,Sub-Saharan Africa,6.294168487480992,12.948474142398265
CAN,Canada,124,Americas,Northern America,57.55048004465564,-98.41680517868062
CYM,Cayman Islands,136,Americas,Latin America and the Caribbean,19.311231805620288,-81.25203208977878
CAF,Central African Republic,140,Africa,Sub-Saharan Africa,6.331390033944319,20.520743419397256
TCD,Chad,148,Africa,Sub-Saharan Africa,15.283493546654505,18.427113900363025
CHL,Chile,152,Americas,Latin America and the Caribbean,-37.82938283049967,-70.76863431739216
CHN,China,156,Asia,Eastern Asia,38.07325481105728,104.69113855849604
CXR,Christmas Island,162,Oceania,Australia and New Zealand,-10.446440802183416,105.70209512200547
CCK,Cocos Islands,166,Oceania,Australia and New Zealand,-12.171249450199545,96.83688767323002
COL,Colombia,170,Americas,Latin America and the Caribbean,4.187753877352739,-72.6445066243485
COM,Comoros,174,Africa,Sub-Saharan Africa,-11.658861474508493,43.34826587429403
COG,Congo,178,Africa,Sub-Saharan Africa,-0.7294391595233845,14.879732849491392
COD,Congo (DRC),180,Africa,Sub-Saharan Africa,-3.338629596207896,23.419827574282188
COK,Cook Islands,184,Oceania,Polynesia,-21.22261325339984,-159.78768870952257
CRI,Costa Rica,188,Americas,Latin America and the Caribbean,9.863467407406214,-84.14673625701816
CIV,Côte d'Ivoire,384,Africa,Sub-Saharan Africa,7.536779279421307,-5.571710194917734
HRV,Croatia,191,Europe,Southern Europe,44.91192100856702,16.625761129583374
CUB,Cuba,192,Americas,Latin America and the Caribbean,21.476176522869448,-79.69817857618705
CUW,Curaçao,531,Americas,Latin America and the Caribbean,12.199996647939832,-68.96939768599042
CYP,Cyprus,196,Asia,Western Asia,35.11700416345239,33.375346009199205
